Accession,Organism_Name,Release_Date,Nuc_Completeness,Segment,Country,Collection_Date
OR628536,Influenza B virus,2023-10-08,partial,2,USA,2023-05-01
MG650635,Influenza A virus (A/chicken/Cameroon/17RS1661-1/2017(H5N8)),2018-04-05,partial,3,Cameroon,2017-01
MK381765,Influenza A virus,2019-01-14,partial,8,USA,2018-01-30
MT031605,Influenza A virus,2020-02-12,partial,6,USA,2019-10-22
HV231472,Influenza A virus,2011-07-15,partial,,,
MK961915,Influenza B virus,2019-05-28,partial,5,Nicaragua,2014-09-10
MG266067,Influenza A virus (A/blue-winged teal/Wyoming/AH0099021/2016(H7N9)),2017-11-25,complete,7,USA,2016-09-07
MH443517,Influenza A virus,2018-06-12,partial,3,USA,2018-01-05
MH842690,Influenza A virus,2018-09-12,partial,2,Nicaragua,2017-07-31
KR700374,Influenza A virus (A/swine/Germany/Ahlen-Dolberg-IDT14631/2012(H1N1)),2015-08-03,partial,4,Germany,2012-01-04
OQ588189,Influenza A virus,2023-03-13,partial,6,USA,2019-01-23
HB373167,Influenza A virus,2009-06-09,partial,,,
CY210882,Influenza A virus (A/Pennsylvania/91/2016(H1N1)),2017-01-05,partial,2,USA,2016-10-26
MK192395,Influenza A virus,2019-01-09,partial,2,Netherlands,2016-03-02
OM731427,Influenza A virus,2022-02-22,partial,7,USA,2021-12-06
PV159712,Influenza A virus,2025-02-21,partial,5,USA,2024-12-30
MK535538,Influenza A virus,2019-02-24,partial,5,USA,2017-06-01
MF194631,Influenza A virus (A/swine/Minnesota/MT_12_07_11_3_12/2011(H1N1)),2017-06-24,partial,5,USA,2011-12-09
KY487076,Influenza A virus (A/Columbia/P0072/2014(H3N2)),2017-02-18,partial,6,USA,2014-12-26
OP136010,Influenza A virus,2022-08-09,partial,3,Russia,2021-11-07
OP694308,Influenza A virus,2022-10-26,partial,4,USA,2022-01-03
MT906696,Influenza A virus,2020-08-25,partial,8,USA,2018-06-07
PQ079569,Influenza B virus,2024-07-30,partial,3,USA,2024-04-02
CY020680,Influenza A virus (A/chicken/Sudan/2115-12/2006(H5N1)),2007-03-22,partial,5,Sudan,2006
CY174031,Influenza B virus (B/New York/1013/1995),2014-04-10,partial,1,USA,1995-03-01
KF367578,Influenza A virus (A/swine/South Dakota/A01397250/2013(H1N1)),2013-07-31,partial,4,USA,2013-06-21
MK641779,Influenza A virus,2019-09-30,partial,4,China,2014-12-24
MH604888,Influenza B virus,2018-07-16,partial,7,USA,2018-04-19
OQ667213,Influenza A virus,2023-03-26,partial,1,USA,2022-12-08
CY215595,Influenza B virus (B/Utah/01/2017),2017-02-06,partial,6,USA,2017-01-03
GQ369832,Influenza A virus (A/Indiana/05/2008(H3N2)),2009-07-18,partial,7,USA,2008-02-20
KF014478,Influenza A virus (A/Singapore/C2011.452/2011(H3N2)),2013-06-11,partial,6,Singapore,2011-06-14
PP829913,Influenza A virus,2024-05-27,partial,4,Chile,2023-07-19
HB375384,Influenza A virus,2009-06-09,partial,,,
MT246118,Influenza A virus,2020-03-31,partial,3,USA,2020-01-07
PP398450,Influenza A virus,2024-03-03,partial,2,USA,2024-01-05
KX351180,Influenza A virus (A/swine/Minnesota/A01774384/2016(H1N1)),2016-06-21,partial,4,USA,2016-04-29
CY071906,Influenza A virus (A/Louisiana/AF2435/2009(H1N1)),2010-08-19,partial,4,USA,2009-11-30
CY004158,Influenza A virus (A/widgeon/ALB/256/1982(H6N6)),2006-01-26,partial,8,Canada,1982-08-13
OL370676,Influenza A virus,2022-03-03,partial,1,Australia,2018-03-01
CY179493,Influenza A virus (A/duck/Wisconsin/3086/1986(H6N2)),2014-04-22,partial,6,USA,1986
KX907935,Influenza A virus (A/swine/Minnesota/A01277996/2012(H1N1)),2016-10-26,partial,3,USA,2012-10-25
CY037562,Influenza A virus (A/Kentucky/UR07-0068/2008(H3N2)),2009-02-24,partial,5,USA,2008-02-21
OP210956,Influenza A virus,2022-08-17,partial,6,USA,2022-04-25
KX651750,Influenza A virus (A/USA/1615-1T/2009(H1N1)),2016-09-08,partial,6,USA,2009-11-28
HM114526,Influenza A virus (A/Vietnam/UT30408III/2005(H5N1)),2010-07-07,partial,1,Viet Nam,2005-02-27
MT379005,Influenza A virus,2020-05-02,partial,3,France,2012-01-10
CY138478,Influenza A virus (A/blue-winged teal/Prince Edward Island/00849/2010(H6N1)),2013-03-08,partial,2,Canada,2010-09-03
MH894575,Influenza A virus,2018-09-18,partial,6,USA,2018-07-13
HD065528,Influenza C virus,2010-07-13,partial,,,
MG759364,Influenza A virus (A/Beijing/PUMCH12/2017(H3N2)),2019-12-31,complete,6,China,2017-08-07
PQ071302,Influenza A virus,2024-07-30,partial,7,USA,2023-12-04
MT245466,Influenza A virus,2020-03-31,partial,4,USA,2020-01-17
CY180663,Influenza A virus (A/mallard/Wisconsin/426/1979(H8N4)),2014-04-22,partial,5,USA,1979
PQ833111,Influenza A virus,2025-01-03,partial,6,USA,2024-12-06
MT890935,Influenza A virus,2020-08-22,partial,1,USA,2019-12-02
ON849814,Influenza A virus,2022-07-29,partial,7,Hong Kong,2016-01-07
KY487700,Influenza A virus (A/Bethesda/P0051/2015(H3N2)),2017-02-18,partial,3,USA,2015-01-15
OQ366978,Influenza A virus,2023-02-07,partial,6,USA,2022-12-13
KX620105,Influenza A virus (A/white-rumped sandpiper/Lagoa do Peixe/RS1196/2012(H6N1)),2016-08-20,partial,8,Brazil,2012-04-18
CY079437,Influenza A virus (A/gadwall/Wisconsin/08OS2296/2008(H6N2)),2010-12-23,partial,7,USA,2008-10-20
KC571606,Influenza A virus (A/swine/Indiana/A01260163/2012(H3N2)),2013-02-24,partial,4,USA,2012-12-05
KT181176,Influenza A virus (A/Singapore/DMS905/2009(H1N1)),2015-08-01,partial,4,Singapore,2009-09-10
MW104172,Influenza A virus,2020-10-19,partial,8,China,2018-09-12
MH233763,Influenza B virus,2018-04-25,partial,5,USA,2018-02-01
PQ836784,Influenza A virus,2025-01-06,partial,7,USA,2024-11-08
JE986786,Influenza A virus,2015-10-15,partial,,,
JF710723,Influenza A virus (A/Scotland/2/2004(H1N1)),2011-04-06,partial,4,United Kingdom,2004-11-27
OQ671405,Influenza A virus,2023-03-26,partial,4,USA,2022-12-24
PP879471,Influenza B virus,2024-06-11,partial,2,USA,2024-02-14
OQ662412,Influenza A virus,2023-03-26,partial,7,USA,2022-12-22
MK868920,Influenza A virus,2019-05-07,partial,5,USA,2019-02-10
OQ664651,Influenza A virus,2023-03-26,partial,4,USA,2023-01-09
JX081127,Influenza A virus (A/brant/Alaska/44063-007/2006(H2N1)),2013-04-15,partial,6,USA,2006-05-25
HZ392957,Influenza A virus,2016-01-27,partial,,,
KF746775,Influenza A virus (A/chicken/Henan/323/2008(H9N2)),2013-11-18,partial,2,China,2008-07-11
OP388520,Influenza A virus,2022-09-12,partial,8,Uganda,2019-11-20
CY060073,Influenza A virus (A/Shandong-HuaiYin/194/2009(H3N2)),2010-04-04,partial,7,China,2009-02-03
OQ233273,Influenza A virus,2023-01-17,partial,4,USA,2022-11-01
CY098900,Influenza B virus (B/Hawaii/NHRC0001/2003),2011-09-19,partial,7,USA,2003-01-19
CY010392,Influenza A virus (A/Canterbury/63/2000(H1N1)),2006-04-05,partial,8,New Zealand,2000-09-06
CY081822,Influenza A virus (A/swine/North Carolina/00538/2005(H1N1)),2011-06-24,partial,4,USA,2005-03-10
OY981645,Influenza A virus,2023-12-15,partial,1,United Kingdom,2022-02-12
FJ981617,Influenza A virus (A/Texas/04/2009(H1N1)),2009-05-01,partial,7,USA,2009-04-14
OQ963787,Influenza A virus,2023-08-23,partial,3,USA,2022-03-06
MW904773,Influenza A virus,2021-04-17,partial,8,USA,2020-03-01
DM089061,Influenza A virus,2009-04-21,partial,,,
KT304325,Influenza A virus (A/swine/Illinois/A02034081/2015(H1N1)),2015-08-11,partial,7,USA,2015-06-23
OP838220,Influenza A virus,2022-11-21,partial,7,USA,2021-11-18
KP335791,Influenza A virus (A/Thailand/CU-B10282/2014(H3N2)),2015-12-31,partial,2,Thailand,2014-06-16
KT842003,Influenza A virus (A/Michigan/17/2015(H3N2)),2015-10-11,partial,5,USA,2015-02-17
PP399523,Influenza A virus,2024-03-03,partial,3,USA,2024-01-11
MN976434,Influenza A virus,2020-01-28,partial,3,USA,2019-10-05
PQ711724,Influenza A virus,2024-12-06,partial,7,USA,2022-07-14
MN754476,Influenza B virus,2019-12-08,partial,7,USA,2019-09-16
KT880174,Influenza A virus (A/Florida/62/2014(H1N1)),2015-10-21,partial,7,USA,2014-10-28
OP840605,Influenza A virus,2022-11-21,partial,2,USA,2021-12-20
CY113704,Influenza A virus (A/Houston/56829/1992(H3N2)),2012-04-04,partial,5,USA,1992-04-03
CY253804,Influenza A virus (A/Victoria/3009/2015(H3N2)),2017-11-14,partial,6,Australia,2015-09-01
MN046358,Influenza A virus,2019-06-15,partial,4,Myanmar,2017-12-17
JX565927,Influenza A virus (A/mallard/Sweden/101712/2009(H4N6)),2013-07-14,partial,3,Sweden,2009-11-12
MW362711,Influenza A virus,2021-06-09,partial,6,Belgium,2016
KR732530,Influenza A virus (A/chicken/Egypt/102d/2010(H5N1)),2015-06-02,partial,5,Egypt,2010
KX003351,Influenza A virus (A/Texas/64/2015(H3N2)),2016-05-21,partial,5,USA,2015-07-01
OP096509,Influenza A virus,2022-08-02,partial,4,USA,2022-02-14
OP106199,Influenza A virus,2022-08-03,partial,6,USA,2022-02-09
CY191336,Influenza B virus (B/New York/WC-LVD-14-003/2014),2015-08-04,partial,3,USA,2014-02-11
MT123921,Influenza B virus,2020-03-04,partial,4,China,2018-01-08
HM144824,Influenza A virus (A/duck/Shantou/6847/2004(H6N2)),2010-06-28,partial,7,China,2004
OP623064,Influenza A virus,2022-10-18,partial,4,Thailand,2013-03-22
OR437822,Influenza A virus,2023-08-20,partial,6,USA,2022-12-15
PQ378222,Influenza A virus,2024-09-25,partial,3,USA,2024-06-24
PQ707784,Influenza A virus,2024-12-06,partial,3,USA,2022-05-09
PP308441,Influenza A virus,2024-02-13,partial,5,USA,2023-10-21
CY009353,Influenza A virus (A/Port Chalmers/1/1973(H3N2)),2006-04-05,partial,3,New Zealand,1973
OP546922,Influenza A virus,2023-01-26,partial,7,France,2022-02-25
MK340341,Influenza A virus,2020-01-31,partial,4,Germany,2015-02-13
CY054786,Influenza A virus (A/California/VRDL22/2009(H1N1)),2010-01-25,partial,1,USA,2009-06-24
PP557671,Influenza A virus,2024-04-03,partial,4,USA,2024-02-15
OQ840743,Influenza A virus,2024-03-05,partial,6,USA,2019-02-26
KT838820,Influenza A virus (A/Louisiana/19/2014(H3N2)),2015-10-11,partial,2,USA,2014-11-18
OR013480,Influenza A virus,2023-05-24,partial,1,USA,2023-01-16
MK364923,Influenza A virus,2020-01-31,partial,5,Germany,2005-06-22
CY076865,Influenza A virus (A/green-winged teal/California/JN1323/2007(H10N7)),2010-11-08,partial,7,USA,2007-01-20
MN002487,Influenza A virus,2019-06-05,partial,1,USA,2019-02-19
KP461575,Influenza B virus (B/Sichuan Chengdu Jinjiang/263/2009),2015-06-01,partial,4,China,2009-03-30
CY120041,Influenza B virus (B/Malaysia/1814277/2007),2012-05-17,partial,5,Malaysia,2007-07-06
CY142953,Influenza A virus (A/northern pintail/Interior Alaska/9BM7934R0/2009(H4N6)),2013-05-13,partial,1,USA,2009-08-08
KJ942965,Influenza A virus (A/Santiago/p37d1/2012(H3N2)),2014-07-13,complete,2,Chile,2012-10-31
CY026496,Influenza A virus (A/swine/Tennessee/112/1977(H1N1)),2007-10-17,partial,3,USA,1977
MK744402,Influenza A virus,2019-04-10,partial,6,USA,2019-01-28
PQ841074,Influenza A virus,2025-01-06,partial,4,USA,2024-10-20
MN949752,Influenza B virus,2020-01-21,partial,4,USA,2019-09-16
PP687502,Influenza A virus,2024-04-23,partial,3,USA,2023-12-29
PP307826,Influenza A virus,2024-02-13,partial,4,USA,2023-12-02
KJ162755,Influenza A virus (A/duck/Taiwan/4372/2013(H5N2)),2014-03-18,partial,3,Taiwan,2013-01-10
CY244160,Influenza A virus (A/Georgia/6048/2017(H3N2)),2017-09-18,partial,4,USA,2017-02-21
MT330732,Influenza A virus,2020-04-19,partial,8,USA,2020-02-18
OP696017,Influenza A virus,2022-10-26,partial,5,USA,2022-03-31
OQ957685,Influenza A virus,2023-08-23,partial,5,USA,2022-04-25
EU026086,Influenza A virus (A/mallard/Maryland/403/2002(H1N1)),2007-08-04,partial,8,USA,2002
MN253874,Influenza A virus,2019-11-29,partial,6,USA,2015
MH347172,Influenza A virus,2019-05-08,partial,3,Chile,2017-05-16
PV077822,Influenza A virus,2025-02-07,partial,6,Iran,2024-02
KF226113,Influenza A virus (A/Jiangsu/1/2013(H7N9)),2013-08-16,complete,4,China,2013-04-20
MH502742,Influenza A virus,2018-06-25,partial,8,USA,2014-05-22
MK380622,Influenza B virus,2019-01-14,partial,8,USA,2018-01-30
EU743517,Influenza A virus (A/mallard/MN/330/1999(H3N1)),2008-07-13,partial,7,USA,1999
CY177954,Influenza A virus (A/mallard/Wisconsin/2087/1984(H3N8)),2014-04-22,partial,8,USA,1984
MT873989,Influenza A virus,2020-08-16,partial,7,USA,2020-03-14
MK554346,Influenza A virus,2019-02-27,partial,4,China,2017-11-15
CY089613,Influenza A virus (A/Nanchang/8008/2009(H1N1)),2011-06-12,partial,1,China,2009-12-19
CY252556,Influenza A virus (A/South Australia/52/2015(H3N2)),2017-11-14,partial,3,Australia,2015-04-22
PQ691046,Influenza A virus,2024-12-06,partial,6,USA,2019-03-02
MH583847,Influenza B virus,2018-07-12,partial,3,USA,2018-01-30
KC757993,Influenza A virus (A/chicken/Bangladesh/5209/2009(H9N2)),2013-07-11,partial,7,Bangladesh,2009-12-27
MK861134,Influenza A virus,2019-05-05,partial,7,Canada,2018-08-12
MH279897,Influenza A virus,2018-05-08,partial,3,USA,2018-04-16
PP807977,Influenza A virus,2024-05-21,partial,4,USA,2023-12-09
MH583597,Influenza B virus,2018-07-12,partial,2,USA,2018-02-21
EU370336,Influenza B virus (B/Lisboa/3/1997),2008-01-22,partial,4,Portugal,
CY033891,Influenza B virus (B/Taiwan/45/2001),2008-07-21,partial,2,Taiwan,2001-01-03
CY120727,Influenza A virus (A/Brazil/AVS04/2009(H1N1)),2012-05-30,partial,8,Brazil,2009-08-13
KF259468,Influenza A virus (A/pheasant/Hong Kong/SF529/2005(H9N2)),2013-08-21,partial,6,China,2005
OQ960591,Influenza A virus,2023-08-23,partial,7,USA,2022-03
MN570770,Influenza A virus,2019-10-21,partial,5,Australia,2018-01-06
OP098203,Influenza A virus,2022-08-02,partial,3,USA,2022-04-08
KF612026,Influenza A virus (A/Santa Cruz/2083/2011(H1N1)),2014-08-31,partial,1,Bolivia,2011-10-31
MK773230,Influenza A virus,2019-04-14,partial,5,USA,2019-02-04
ON849859,Influenza A virus,2022-07-29,partial,4,Hong Kong,2014-03-20
CY090846,Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)),2011-05-26,partial,7,United Kingdom,1933-06-01
KY938570,Influenza A virus (A/swine/Nebraska/A01783006/2016(H1N1)),2017-04-23,partial,8,USA,2016-11-03
DM081320,Influenza A virus,2009-04-21,partial,,,
MH061730,Influenza A virus,2018-03-20,partial,7,Mexico,2013-03-14
OR910427,Influenza A virus,2023-12-11,partial,7,Chile,2023-03-21
OR230154,Influenza A virus,2024-08-01,partial,1,China,2022
PP899176,Influenza A virus,2024-06-16,partial,8,USA,2024-02-29
CY060648,Influenza A virus (A/Ontario/314603/2009(H1N1)),2010-04-12,partial,6,Canada,2009-11-02
MW103306,Influenza A virus,2020-10-19,partial,6,China,2018-09-24
MN424248,Influenza A virus,2019-09-14,partial,6,USA,2019-07-03
PP535428,Influenza B virus,2024-03-31,partial,1,Hong Kong,2024-01-10
OQ664697,Influenza A virus,2023-03-26,partial,5,USA,2023-01-03
MT058101,Influenza A virus,2020-02-18,partial,2,USA,2019-11-26
CY092770,Influenza A virus (A/California/VRDL353/2009(mixed)),2011-06-28,partial,7,USA,2009-05-27
KT839903,Influenza A virus (A/Delaware/35/2014(H3N2)),2015-10-11,partial,7,USA,2014-12-07
KT734898,Influenza A virus (A/Michigan/27/2013(H3N2)),2015-10-03,partial,4,USA,2013-01-26
MF194130,Influenza A virus (A/swine/Minnesota/MT_12_07_2102/2012(H1N1)),2017-06-24,partial,4,USA,2012-03-21
MH585242,Influenza B virus,2018-07-12,partial,8,USA,2018-03-11
CY094215,Influenza A virus (A/mallard/California/8432/2008(H6N1)),2011-07-19,partial,6,USA,2008-10-22
KC458524,Influenza B virus (B/Japan/379/2008),2013-02-11,partial,6,Japan,2008-01-29
PQ129515,Influenza A virus,2024-08-07,partial,5,South Georgia and the South Sandwich Islands,2023-10-08
CY210783,Influenza A virus (A/New York/107/2016(H3N2)),2017-01-05,partial,4,USA,2016-11-26
ON370202,Influenza A virus,2022-05-03,partial,7,USA,2021-12-10
HI505608,Influenza A virus,2010-11-02,partial,,,
JN244242,Influenza A virus (A/duck/Korea/109/2011(H7N7)),2012-05-23,partial,4,South Korea,2011-01
KC781042,Influenza A virus (A/Massachusetts/31/2009(H1N1)),2013-04-08,partial,4,USA,2009-09-15
PQ011484,Influenza A virus,2024-07-17,partial,5,USA,2024-04-23
MN084544,Influenza A virus,2019-06-25,partial,4,USA,2019-04-02
MT265025,Influenza A virus,2020-04-06,partial,3,China,2019-04
OP211108,Influenza A virus,2022-08-17,partial,6,USA,2022-04-10
KF015066,Influenza A virus (A/Singapore/C2011.411/2011(H3N2)),2013-06-11,partial,1,Singapore,2011-05-30
MW749097,Influenza A virus,2021-03-20,partial,6,Bangladesh,2020-02-22
OQ506924,Influenza A virus,2023-02-28,partial,4,USA,2023-01-03
MN003842,Influenza A virus,2019-06-05,partial,3,USA,2019-03-31
MW103775,Influenza A virus,2020-10-19,partial,3,China,2018-04-18
KM029757,Influenza A virus (A/swine/Guangdong/NS2887/2012(H1N1)),2014-07-13,partial,2,China,2012-08-23
MW107799,Influenza A virus,2020-10-19,partial,3,China,2018-08-26
MN647287,Influenza A virus,2020-09-08,partial,5,China,2015-11-24
PP260837,Influenza A virus,2024-02-06,partial,5,USA,2023-11-13
JX422501,Influenza A virus (A/swine/Nebraska/A01327773/2012(H1N1)),2012-10-06,partial,7,USA,2012-04-25
AY604771,Influenza B virus (B/Taiwan/1534/02),2004-09-05,partial,,Taiwan,
MW100641,Influenza A virus,2020-10-19,partial,7,China,2017-05-24
KU323251,Influenza A virus (A/swine/Italy/187946/2015(H1N2)),2017-08-14,partial,2,Italy,2015
CY209367,Influenza A virus (A/Minnesota/79/2016(H3N2)),2016-12-16,partial,3,USA,2016-11-12
CY233935,Influenza A virus (A/New York/23/2017(H1N1)),2017-06-08,partial,3,USA,2017-01-07
OP840552,Influenza A virus,2022-11-21,partial,5,USA,2021-12-14
PQ693950,Influenza A virus,2024-12-06,partial,2,USA,2019-12-26
MH669948,Influenza A virus,2018-07-30,partial,5,USA,2018-03-15
OQ841765,Influenza A virus,2024-03-05,partial,6,USA,2022-06-09
MK927595,Influenza A virus,2019-05-19,partial,3,Germany,2019-02-11
OQ464959,Influenza A virus,2023-02-26,partial,1,USA,2022-12-06
OQ954748,Influenza A virus,2023-06-02,partial,3,USA,2016-04-04
GU396895,Influenza A virus (A/duck/Taiwan/0720/2006(H4N6)),2011-03-11,partial,5,Taiwan,2006-06-07
OR012851,Influenza A virus,2023-05-24,partial,2,USA,2023-01-06
CY149912,Influenza B virus (B/Christchurch/75/2006),2013-10-15,partial,5,New Zealand,2006-09-19
OL354905,Influenza A virus,2021-12-20,partial,3,Egypt,2021-02-10
KU289910,Influenza A virus (A/blue winged teal/Louisiana/A00637297/2009(H7N3)),2015-12-27,partial,1,USA,2009-01-22
CY028516,Influenza A virus (A/pheasant/New York/143646-4/2005(H7N2)),2007-12-28,partial,7,USA,2005
PQ755788,Influenza A virus,2024-12-12,partial,7,Netherlands,2018-05-28
CY000561,Influenza A virus (A/New York/69/2004(H3N2)),2005-03-29,partial,4,USA,2004-01-06
MN254407,Influenza A virus,2019-11-29,partial,3,USA,2016
AF225771,Influenza A virus (A/Netherlands/652/89 (H3N2)),2000-07-25,partial,,,
HB374302,Influenza A virus,2009-06-09,partial,,,
CY224422,Influenza B virus (B/Georgia/05/2017),2017-03-31,partial,4,USA,2017-02-10
PV144068,Influenza B virus,2025-02-19,partial,5,USA,2020-02-16
OR010608,Influenza A virus,2023-05-24,partial,2,USA,2023-01-12
PQ712180,Influenza A virus,2024-12-06,partial,7,USA,2023-01-09
KF790384,Influenza A virus (A/New Mexico/24/2012(H3N2)),2013-11-06,partial,4,USA,2012-12-10
OQ962536,Influenza A virus,2023-08-23,partial,8,USA,2022-03-22
MT907659,Influenza A virus,2020-08-26,partial,7,USA,2019-06-07
PP233337,Influenza A virus,2024-02-04,partial,1,USA,2024-01-04
CY052591,Influenza A virus (A/Texas/45033774/2009(H1N1)),2009-12-11,partial,4,USA,2009-09-03
MK730281,Influenza A virus,2019-04-08,partial,1,USA,2012-12-07
FM177121,Influenza A virus (A/chicken/Germany/R3234/2007(H5N1)),2009-01-10,partial,,Germany,
PQ079502,Influenza B virus,2024-07-30,partial,6,USA,2024-01-28
OP211606,Influenza A virus,2022-08-17,partial,8,USA,2022-05-07
PP815336,Influenza A virus,2024-05-25,partial,7,USA,2024-03-24
CY124726,Influenza A virus (A/Singapore/KK166/2011(H1N1)),2012-07-03,partial,4,Singapore,2011-04-18
PQ830141,Influenza A virus,2025-01-03,partial,4,USA,2024-12-04
CY169656,Influenza A virus (A/Boston/YGA_01156/2013(H3N2)),2014-04-10,partial,7,USA,2013-01-05
MK899336,Influenza A virus,2019-05-14,partial,2,USA,2019-01-25
KM213287,Influenza A virus (A/Oman/SQUH-69/2012(H1N1)),2015-07-08,partial,4,Oman,2012-12-27
DQ492941,Influenza A virus (A/mallard/Vietnam/21/2003(H5N1)),2006-04-29,partial,,Viet Nam,
KX406091,Influenza A virus (A/Arizona/48/2015(H1N1)),2016-06-25,partial,4,USA,2015-12-22
MT058088,Influenza A virus,2020-02-18,partial,5,USA,2019-12-29
PP557996,Influenza A virus,2024-04-03,partial,5,USA,2024-02-16
PP305140,Influenza A virus,2024-02-13,partial,8,USA,2023-09-12
PP807236,Influenza A virus,2024-05-21,partial,7,USA,2024-01-24
MK365126,Influenza A virus,2020-01-31,partial,8,Germany,2006-03-22
MN301648,Influenza A virus,2019-08-17,partial,5,Switzerland,2017-01-12
MT314727,Influenza B virus,2020-04-14,partial,1,USA,2020-01-06
MT243012,Influenza B virus,2020-03-31,partial,5,USA,2019-12-16
MN301871,Influenza A virus,2019-08-17,partial,5,Switzerland,2017-02-08
MH885208,Influenza A virus,2018-09-15,partial,4,USA,2018-01-08
CY179840,Influenza A virus (A/mallard/Alabama/627/1975(H6N2)),2014-04-22,partial,3,USA,1975
MT314634,Influenza B virus,2020-04-14,partial,5,USA,2020-01-10
OR125243,Influenza A virus,2023-06-25,partial,3,Chile,2023-03-12
MK557319,Influenza A virus,2019-02-27,partial,8,USA,2018-11-14
MT343027,Influenza B virus,2020-04-21,partial,2,USA,2020-01-28
AY633134,Influenza A virus (A/mallard/Alberta/117/1997(H3N8)),2004-07-03,partial,6,,
PP998406,Influenza A virus,2024-07-15,partial,3,Russia,2022-11-15
HQ239734,Influenza A virus (A/Canada-NB/RV2490/2009(H1N1)),2011-01-12,partial,7,Canada,2009-07-08
KX003086,Influenza B virus (B/Massachusetts/11/2015),2016-05-21,partial,3,USA,2015-04-13
PP652969,Influenza B virus,2024-04-17,partial,5,USA,2024-03-01
MG230491,Influenza A virus (A/swine/Minnesota/A01678507/2017(H1N1)),2017-11-12,partial,6,USA,2017-09-26
PP821714,Influenza A virus,2024-05-26,partial,8,USA,2024-01-08
CY102663,Influenza A virus (A/shorebird/Delaware Bay/113/2001(mixed)),2011-11-16,partial,1,USA,2001-05-17
MK553299,Influenza A virus,2019-02-27,partial,4,China,2018-10-25
PP308414,Influenza A virus,2024-02-13,partial,2,USA,2023-10-16
HB381578,Influenza A virus,2009-06-09,partial,,,
MT378891,Influenza A virus,2020-05-02,partial,1,France,2017-12-15
CY139280,Influenza A virus (A/American black duck/Prince Edward Island/00788/2010(H3N8)),2013-03-08,partial,7,Canada,2010-08-25
PP877252,Influenza A virus,2024-06-11,partial,7,USA,2024-01-25
HB383557,Influenza A virus,2009-06-09,partial,,,
MW650803,Influenza A virus,2021-02-28,partial,2,USA,2019-01-28
PP699319,Influenza B virus,2024-04-24,partial,3,USA,2024-03-21
KT866679,Influenza B virus (B/Delaware/09/2015),2015-10-11,partial,7,USA,2015-04-19
PP091291,Influenza A virus,2024-01-13,partial,2,China,2022-02
PQ448577,Influenza A virus,2024-10-09,partial,5,USA,2024-02-15
MH134691,Influenza A virus,2018-08-31,partial,5,Chile,2016-08-18
DQ493171,Influenza A virus (A/chicken/Sragen/BPPV4/2003(H5N1)),2006-04-29,partial,,Indonesia,
PV038664,Influenza A virus,2025-01-31,partial,6,USA,2024-12-30
OP086015,Influenza A virus,2022-08-01,partial,1,USA,2021-12-01
KX061800,Influenza A virus (A/duck/Jiangxi/S4770/2013(H7N7)),2016-09-28,partial,4,China,2013-11-19
OR165051,Influenza A virus,2023-06-26,partial,3,USA,2022-06-23
KP766727,Influenza A virus (A/chicken/Guangdong/G3349/2014(H9)),2016-02-05,partial,4,China,2014-11-19
GU051744,Influenza A virus (A/ruddy turnstone/Delaware/890/2006(H7N3)),2009-11-28,partial,1,USA,2006
OR467248,Influenza A virus,2023-08-26,partial,7,Bangladesh,2022-10-31
KF454827,Influenza A virus (A/ruddy shelduck/Mongolia/882V/2009(H3N8)),2014-07-31,partial,3,Mongolia,2009-09-15
CY223982,Influenza A virus (A/Vermont/06/2017(H3N2)),2017-03-31,partial,4,USA,2017-02-08
MK961796,Influenza B virus,2019-05-28,partial,8,Nicaragua,2014-08-19
EU015404,Influenza A virus (A/Indonesia/TLL002/2006(H5N1)),2008-01-01,partial,4,Indonesia,
PP877156,Influenza A virus,2024-06-11,partial,7,USA,2024-02-26
MW430481,Influenza A virus,2021-01-10,partial,1,USA,2020-05-11
CY045441,Influenza A virus (A/northern shoveler/Alaska/7MP1708/2007(H3N8)),2009-09-02,partial,6,USA,2007-09-03
PQ698029,Influenza A virus,2024-12-06,partial,7,USA,2020-01-05
KP638096,Influenza A virus (A/Thailand/SN07100/2007(H3N2)),2016-01-31,partial,6,Thailand,2007-12-21
MG367022,Influenza A virus (A/mallard duck/Korea/VI160646/2016(H6N5)),2017-12-06,partial,8,South Korea,2016-01
PP877892,Influenza A virus,2024-06-11,partial,5,USA,2024-02-25
OP097632,Influenza A virus,2022-08-02,partial,8,USA,2022-03-12
MN589523,Influenza B virus,2019-12-04,partial,2,Singapore,2018-10-18
KC342603,Influenza A virus (A/mallard/Sweden/51458/2006(H1N1)),2013-07-09,partial,6,Sweden,2006-10-17
PP642428,Influenza B virus,2024-04-16,partial,2,USA,2024-02-02
KP413348,Influenza A virus (A/chicken/Dongguan/3219/2013(H7N9)),2015-03-06,partial,7,China,2013-12-18
OR746708,Influenza A virus,2023-11-04,partial,8,USA,2023-04-24
CY221214,Influenza B virus (B/Ohio/03/2017),2017-03-03,partial,4,USA,2017-01-12
OP953588,Influenza A virus,2022-12-11,partial,3,USA,2021-11-23
OR125484,Influenza A virus,2023-06-25,partial,6,Chile,2023-01-20
CY103853,Influenza A virus (A/Tomsk/18/2011(H1N1)),2011-12-15,partial,4,Russia,2011-02-20
PP327444,Influenza A virus,2024-02-17,partial,7,USA,2024-01-13
CY040491,Influenza A virus (A/swine/Minnesota/63607-5/2008(H3N1)),2009-05-21,partial,4,USA,2008
